,player_id,hand,year_of_birth,ioc,height,wikidata_id,player_name
1354,201353,U,1982,SVK,,Q4992439,Stanislava Hrozenska
1356,201355,R,1982,ITA,172.0,Q207528,Flavia Pennetta
1357,201356,R,1984,CZE,170.0,Q240814,Eva Birnerova
1358,201357,R,1983,FRA,,,Virginie Pichet
1359,201358,R,1981,ARG,,Q18613350,Natalia Gussoni
1360,201359,R,1982,FRA,,,Amandine Dulon
1361,201360,R,1983,UKR,183.0,Q238026,Julia Vakulenko
1362,201361,R,1982,GER,166.0,Q77290,Julia Schruff
1363,201362,R,1985,FRA,,,Anais Laurendon
1364,201363,R,1985,ARG,170.0,Q229132,Gisela Dulko
1365,201364,R,1988,FRA,175.0,Q233256,Tatiana Golovin
1366,201365,R,1984,ROU,165.0,Q232547,Edina Gallovits Hall
1367,201366,R,1986,CZE,164.0,Q230353,Barbora Strycova
1368,201367,R,1982,ESP,176.0,Q182182,Arantxa Parra Santonja
1369,201368,R,1984,CRO,174.0,Q230264,Karolina Sprem
1370,201369,R,1986,USA,178.0,,Carly Gullickson
1371,201370,R,1982,AUS,167.0,Q487098,Anastasia Rodionova
1372,201371,R,1986,RUS,180.0,Q230571,Vera Dushevina
1373,201372,L,1985,USA,175.0,,Theresa Logar
1374,201373,R,1987,RUS,173.0,Q11657,Maria Kirilenko
1375,201374,R,1980,USA,,,Gabriela Lastra
1376,201375,R,1984,USA,170.0,Q54550,Shenay Perry
1377,201376,L,1984,USA,173.0,Q603421,Angela Haynes
1378,201377,R,1983,UKR,174.0,Q264535,Yuliya Beygelzimer
1379,201378,U,1982,GER,,,Stephanie Gehrlein
1380,201379,R,1981,ITA,181.0,Q230222,Mara Santangelo
1381,201380,R,1983,LUX,169.0,Q867874,Claudine Schaul
1382,201381,R,1981,CHN,175.0,Q234857,Tian Tian Sun
1383,201382,R,1988,AUS,,,Olivia Lukaszewicz
1384,201383,R,1982,CAN,172.0,Q271726,Marie Eve Pelletier
1385,201384,R,1985,TPE,168.0,Q234834,Chia Jung Chuang
1386,201385,R,1983,UKR,166.0,Q254344,Yuliana Fedak
1387,201386,R,1983,CHN,164.0,Q197639,Jie Zheng
1388,201387,R,1984,SWE,176.0,Q232586,Sofia Arvidsson
1389,201388,R,1986,AUS,177.0,Q222631,Sophie Ferguson
1390,201389,R,1982,SVK,,,Zuzana Kucova
1391,201390,R,1980,BIH,179.0,Q284270,Mervana Jugic Salkic
1392,201391,U,1985,CRO,179.0,Q4178384,Sanda Mamic
1394,201393,R,1983,USA,,,Kelly Mccain
1395,201394,R,1985,GER,180.0,Q57559,Anna Lena Groenefeld
1397,201396,R,1986,GBR,167.0,Q254319,Katie Obrien
1398,201397,R,1986,CHN,173.0,Q229087,Shuai Peng
1400,201399,R,1984,GBR,,Q458550,Emily Webley Smith
1401,201400,R,1989,CZE,181.0,Q223668,Nicole Vaidisova
1402,201401,R,1981,USA,175.0,Q54668,Abigail Spears
1403,201402,R,1989,KAZ,171.0,Q230881,Sesil Karatantcheva
1404,201403,R,1987,RUS,172.0,Q560267,Anna Chakvetadze
1405,201404,R,1987,USA,175.0,,Jessica Kirkland
