,player_id,hand,year_of_birth,ioc,height,wikidata_id,player_name
3586,103587,R,1980,ARG,190.0,Q67196156,Andres Dellatorre
3587,103588,U,1980,ARG,,,Xxxxxxx De La Torre
3588,103589,U,1980,USA,,,Andrew Colombo
3589,103590,R,1980,COL,,Q6833676,Michael Quintero
3590,103591,U,1980,SWE,,,Daniel Schalen
3591,103592,R,1980,FRA,185.0,Q2720338,Jerome Haehnel
3592,103593,R,1980,URU,,,Marcelo Barboza
3593,103594,R,1980,AUT,185.0,Q441027,Oliver Marach
3594,103595,R,1980,FIN,,,Martin Rammal
3595,103596,U,1980,BEL,,,Kevin Larock
3596,103597,R,1980,USA,,,Mario Alvarez
3597,103598,R,1980,BEL,185.0,Q312620,Xavier Malisse
3598,103599,U,1980,ESP,,,Jordi Marse Vidri
3599,103600,R,1980,KUW,,Q6893099,Mohammad Ghareeb
3600,103601,R,1980,GER,,,Sebastian Jaeger
3601,103602,R,1980,CHI,183.0,Q208517,Fernando Gonzalez
3602,103603,R,1980,NED,,,Steven Bijl
3603,103604,U,1980,ESP,,,Ignacio Vila
3604,103605,R,1980,ARG,,,Alejandro Asta
3605,103606,R,1980,USA,,,Henry Beam
3606,103607,R,1980,DOM,173.0,Q548522,Victor Estrella
3607,103608,R,1980,ESP,,,Mario Munoz Bejarano
3608,103609,R,1980,USA,,,Matthew Behrmann
3609,103610,R,1980,USA,,Q50345506,Mirko Pehar
3610,103611,R,1980,ITA,,Q16221111,Giancarlo Petrazzuolo
3611,103612,R,1980,KAZ,193.0,Q4721321,Alexey Kedryuk
3612,103613,R,1980,MEX,,,Jorge Haro
3613,103614,R,1980,CZE,,,Josef Nesticky
3614,103615,U,1980,SUI,,,Patrick Schnidrig
3615,103616,R,1980,RSA,,,Andre Van Der Merwe B
3616,103617,R,1980,USA,185.0,Q555632,Travis Parrott
3617,103618,U,1980,GER,,,Heiko Bollich
3618,103619,R,1980,IND,185.0,Q21642826,Mustafa Ghouse
3619,103620,R,1980,SVK,,,Tomas Janci
3620,103621,U,1980,RUS,,,Igor Levine
3621,103622,R,1980,KOR,,,Bo Ram Cha
3622,103623,R,1980,SWE,193.0,Q6118268,Jacob Adaktusson
3623,103624,R,1980,ARG,,,Sebastian Uriarte
3624,103625,R,1980,ITA,,Q50505907,Adriano Biasella
3625,103626,R,1980,ITA,178.0,Q7818330,Tomas Tenconi
3626,103627,U,1980,AUS,,,Ashley Dyer
3627,103628,R,1980,UZB,,,Vladimir Bistryavichus
3628,103629,R,1980,RSA,,,Ciaran Moore
3629,103630,R,1980,AHO,,Q29204918,Martijn Van Haasteren
3630,103631,R,1980,ISR,,,Eliran Dooyev
3631,103632,R,1980,PER,180.0,Q350266,Luis Horna
3632,103633,R,1980,VEN,,,Marco Mazzotta
3633,103634,R,1980,ARG,,,Emiliano Redondi
3634,103635,U,1980,AUS,,,Andrew Derer
3635,103636,R,1980,ITA,,,Federico Torresi
3636,103637,U,1980,MEX,,Q102123762,Marcelo Amador
3637,103638,R,1980,DOM,,Q100711780,Jhonson Garcia
3638,103639,R,1980,AUS,,,Brad Weston
3639,103640,U,1980,IND,,,Vijayendra Laad
3640,103641,L,1980,ESP,,,Cesar Ferrer Victoria
3641,103642,R,1980,CHN,,,Shan Jiang
3642,103643,R,1980,FIN,,Q13536,Lauri Kiiski
3643,103644,R,1980,CHN,,Q104840431,Ran Xu
3644,103645,R,1980,HUN,,,Balazs Veress
3645,103646,R,1980,GER,180.0,,Lars Uebel
3646,103647,R,1980,JPN,173.0,Q23416374,Jun Kato
3647,103648,U,1980,FRA,,,John Thivolle
3648,103649,R,1980,TUR,,,Esat Tanik
3649,103650,R,1980,GER,180.0,,Alex Satschko
3650,103651,R,1980,GER,180.0,Q4717754,Alexander Satschko
3651,103652,R,1980,AUS,,,Matthew Yeates
3652,103653,R,1980,NED,,Q39863084,Jasper Smit
3653,103654,U,1980,ESP,,,David Cors
3654,103655,L,1980,BUL,,Q13512835,Boris Nicola Bakalov
3655,103656,R,1980,ESP,175.0,Q299374,Albert Montanes
3656,103657,R,1980,SVK,183.0,Q3487091,Ivo Klec
3657,103658,R,1980,FRA,,,Jordane Doble
3658,103659,R,1980,TPE,,,Wei Jen Cheng
3659,103660,R,1980,USA,188.0,Q38169657,Nick Rainey
3660,103661,U,1980,ESP,,,Pedro Rico
3661,103662,R,1980,GER,,,Holger Fischer
3662,103663,R,1980,USA,,Q6787403,Matias Boeker
3663,103664,U,1980,ARG,,,Nicolas Boeker
3664,103665,R,1980,USA,188.0,,Ryan Haviland
3665,103666,R,1980,BUL,,Q19561118,Ilia Kushev
3666,103667,U,1980,ESP,,,Bernat Mas Avellaneda
3667,103668,R,1980,MKD,,Q50591955,Lazar Magdincev
3668,103669,R,1980,AUS,,,Damien Spizzo
3669,103670,R,1980,CHI,,,Alvaro Loyola
3670,103671,R,1980,ISR,,,Or Dekel
3671,103672,L,1980,BRA,175.0,Q45010,Ricardo Mello
3672,103673,R,1980,BRA,,,Clayton Almeida
3673,103674,R,1980,NGR,,,Jonathan Igbinovia
3674,103675,L,1980,ARG,178.0,Q717463,Diego Junqueira
3675,103676,R,1980,USA,185.0,Q117456,Michael Yani
3676,103677,U,1981,AUT,,Q107721860,Andreas Fasching
3677,103678,R,1981,SVK,,,Miloslav Grolmus
3678,103679,R,1981,BEL,,,Jeroen Masson
3679,103680,R,1981,USA,,,Andreas Bubik
3680,103681,U,1981,USA,,Q30122341,Chris Drake
3681,103682,R,1981,KOR,185.0,Q6001822,Kyu Tae Im
3682,103683,U,1981,CHN,,,Yi Ning Wang
3683,103684,R,1981,GER,178.0,Q4887371,Benedikt Dorsch
3684,103685,U,1981,FRA,,,Olivier Ramos
3685,103686,R,1981,AUS,,,Glen Bertram
3686,103687,U,1981,ITA,,,Enrico Burzi
3687,103688,R,1981,ROU,,,Angelo Niculescu
3688,103689,L,1981,ARG,,,Guillermo Carry
3689,103690,R,1981,POL,188.0,Q355333,Marcin Matkowski
3690,103691,L,1981,FRA,,,Baptiste Dupuy
