,winner_name,w_ace,w_1stIn,w_df,w_1stWon,w_bpFaced,winner_rank,winner_id,year
70,Virginia Ruano Pascual,1.8,48.6,2.8,30.4,6.6,55.0,12,2004
71,Arantxa Parra Santonja,3.5,29.75,2.25,19.75,7.0,55.0,17,2004
72,Katarina Srebotnik,1.6666666666666667,36.0,1.3333333333333333,25.0,3.0,56.0,14,2004
73,Alina Jidkova,,,,,,57.0,12,2004
74,Jie Zheng,0.0,68.0,6.0,45.0,7.0,58.0,10,2004
75,Tathiana Garbin,2.3333333333333335,33.666666666666664,2.6666666666666665,23.0,7.666666666666667,59.0,12,2004
76,Jill Craybas,1.0,31.0,4.0,18.0,5.0,59.0,10,2004
77,Emmanuelle Gagliardi,1.0,55.0,0.0,33.0,8.0,60.0,5,2004
78,Mashona Washington,,,,,,61.0,8,2004
79,Ludmila Cervanova,1.3333333333333333,53.666666666666664,1.0,33.666666666666664,8.333333333333334,63.0,15,2004
80,Barbora Strycova,1.0,26.0,4.0,20.0,2.0,64.0,13,2004
81,Melinda Czink,0.0,44.0,1.0,28.0,8.0,64.0,3,2004
82,Dally Randriantefy,1.0,45.0,2.0,30.0,9.0,69.0,3,2004
83,Lubomira Kurhajcova,,,,,,69.0,17,2004
84,Rita Grande,1.0,45.0,2.0,27.0,10.0,69.0,9,2004
85,Martina Sucha,,,,,,69.0,21,2004
86,Myriam Casanova,2.5,47.5,6.5,31.0,10.5,71.0,5,2004
87,Julia Vakulenko,6.0,48.0,5.0,34.0,5.0,71.0,9,2004
88,Els Callens,,,,,,72.0,4,2004
89,Anna Lena Groenefeld,4.0,27.0,5.0,21.0,4.0,74.0,3,2004
90,Milagros Sequera,,,,,,74.0,8,2004
91,Tatiana Perebiynis,,,,,,75.0,9,2004
92,Shenay Perry,,,,,,75.0,3,2004
93,Samantha Stosur,6.0,44.0,1.0,31.0,3.0,77.0,8,2004
94,Vera Dushevina,2.0,47.333333333333336,3.3333333333333335,27.0,12.0,77.0,10,2004
95,Mara Santangelo,,,,,,79.0,4,2004
96,Marta Domachowska,,,,,,79.0,5,2004
97,Nuria Llagostera Vives,,,,,,79.0,1,2004
98,Virginie Razzano,,,,,,80.0,4,2004
99,Samantha Reeves,,,,,,82.0,2,2004
100,Marie Gaiane Mikaelian,,,,,,84.0,4,2004
101,Tatiana Panova,,,,,,84.0,2,2004
102,Marissa Irvin,,,,,,84.0,2,2004
103,Henrieta Nagyova,,,,,,85.0,5,2004
104,Sandra Kleinova,,,,,,85.0,1,2004
105,Zuzana Ondraskova,,,,,,86.0,1,2004
106,Lindsay Lee Waters,3.0,48.0,3.0,31.0,9.0,86.0,4,2004
107,Yuliana Fedak,,,,,,87.0,1,2004
108,Maria Kirilenko,2.0,49.0,6.0,31.0,16.0,88.0,2,2004
109,Shuai Peng,,,,,,92.0,2,2004
110,Stephanie Cohen Aloro,,,,,,93.0,6,2004
111,Gala Leon Garcia,,,,,,93.0,3,2004
112,Silvija Talaja,,,,,,94.0,1,2004
113,Severine Beltrame,10.0,79.0,3.0,54.0,9.0,94.0,2,2004
114,Antonella Serra Zanetti,,,,,,98.0,2,2004
115,Lindsay Davenport,5.5,41.04545454545455,4.5,30.454545454545453,6.0,1.0,60,2005
116,Maria Sharapova,4.125,41.791666666666664,2.75,29.166666666666668,5.125,1.0,53,2005
117,Kim Clijsters,2.75,37.375,3.75,26.8125,4.75,2.0,61,2005
118,Amelie Mauresmo,3.0,35.526315789473685,3.6315789473684212,26.68421052631579,4.421052631578948,2.0,56,2005
119,Serena Williams,6.166666666666667,40.0,2.4166666666666665,29.833333333333332,5.083333333333333,2.0,21,2005
120,Anastasia Myskina,2.3333333333333335,41.888888888888886,3.3333333333333335,26.77777777777778,8.444444444444445,3.0,37,2005
121,Svetlana Kuznetsova,5.533333333333333,36.86666666666667,2.7333333333333334,26.8,5.4,4.0,29,2005
122,Justine Henin,2.2142857142857144,37.0,5.928571428571429,25.785714285714285,7.214285714285714,5.0,34,2005
123,Mary Pierce,3.391304347826087,47.04347826086956,1.2173913043478262,33.17391304347826,5.217391304347826,5.0,43,2005
124,Elena Dementieva,0.7857142857142857,45.0,9.5,29.642857142857142,9.428571428571429,5.0,46,2005
125,Venus Williams,3.0,44.0,4.0625,31.1875,6.0625,7.0,37,2005
126,Patty Schnyder,4.25,47.666666666666664,1.9166666666666667,32.583333333333336,7.416666666666667,8.0,58,2005
127,Alicia Molik,7.5,35.25,1.75,28.0,3.75,8.0,17,2005
128,Nadia Petrova,3.75,41.0,3.125,29.0,6.25,8.0,56,2005
129,Vera Zvonareva,2.7,34.6,2.4,25.3,5.0,10.0,21,2005
130,Nathalie Dechy,1.5833333333333333,51.833333333333336,3.1666666666666665,33.083333333333336,8.0,13.0,41,2005
131,Elena Bovina,3.25,48.0,2.25,32.5,6.75,14.0,13,2005
132,Francesca Schiavone,4.333333333333333,35.22222222222222,3.0,25.333333333333332,4.444444444444445,15.0,41,2005
133,Fabiola Zuluaga,2.0,26.0,1.6666666666666667,21.333333333333332,2.0,16.0,12,2005
134,Ana Ivanovic,1.875,35.625,2.25,25.125,5.875,16.0,32,2005
135,Elena Likhovtseva,2.4615384615384617,54.07692307692308,3.1538461538461537,33.0,10.076923076923077,16.0,30,2005
136,Jelena Jankovic,2.8,34.0,2.0,26.2,4.0,17.0,38,2005
137,Nicole Vaidisova,8.0,41.09090909090909,2.8181818181818183,28.272727272727273,3.909090909090909,18.0,48,2005
138,Karolina Sprem,1.0,31.333333333333332,4.666666666666667,19.0,8.0,18.0,16,2005
139,Silvia Farina Elia,0.42857142857142855,38.57142857142857,2.0,24.714285714285715,4.714285714285714,19.0,25,2005
140,Tatiana Golovin,2.0,39.714285714285715,5.0,27.285714285714285,5.857142857142857,19.0,33,2005
141,Daniela Hantuchova,4.444444444444445,35.111111111111114,2.3333333333333335,25.88888888888889,4.777777777777778,19.0,38,2005
142,Shinobu Asagoe,1.4,43.0,2.2,27.8,5.2,21.0,25,2005
143,Dinara Safina,3.4,56.2,3.2,37.0,8.0,21.0,37,2005
144,Anna Lena Groenefeld,4.142857142857143,40.0,3.4285714285714284,27.714285714285715,6.428571428571429,21.0,40,2005
145,Ai Sugiyama,1.3333333333333333,51.666666666666664,4.666666666666667,33.666666666666664,7.333333333333333,21.0,28,2005
146,Flavia Pennetta,1.8,35.0,3.8,22.8,8.6,24.0,38,2005
147,Anna Chakvetadze,2.1666666666666665,45.5,4.666666666666667,29.5,7.333333333333333,24.0,24,2005
148,Magdalena Maleeva,2.8333333333333335,33.833333333333336,1.3333333333333333,24.666666666666668,3.1666666666666665,25.0,21,2005
149,Amy Frazier,1.0,65.0,8.0,38.0,10.5,26.0,18,2005
150,Maria Kirilenko,4.0,33.5,1.5,25.0,2.0,26.0,28,2005
151,Marion Bartoli,1.0,34.25,1.0,23.0,5.75,27.0,26,2005
152,Anabel Medina Garrigues,4.0,45.0,0.0,27.5,9.0,27.0,29,2005
153,Gisela Dulko,2.3333333333333335,41.666666666666664,6.0,25.666666666666668,11.666666666666666,28.0,34,2005
154,Paola Suarez,,,,,,29.0,3,2005
155,Lisa Raymond,1.0,36.0,1.0,24.0,4.0,30.0,14,2005
156,Conchita Martinez,3.5,41.5,3.0,29.5,7.5,31.0,29,2005
157,Kveta Peschke,0.5,36.5,5.25,26.0,6.0,31.0,22,2005
158,Katarina Srebotnik,3.5,33.0,1.0,23.0,3.0,31.0,31,2005
159,Sania Mirza,2.25,48.5,4.25,32.25,10.0,31.0,20,2005
160,Shuai Peng,2.5,32.0,1.0,21.5,5.5,31.0,20,2005
161,Anna Smashnova,0.5,32.5,2.0,22.0,5.0,32.0,27,2005
162,Klara Koukalova,,,,,,33.0,32,2005
163,Meghann Shaughnessy,10.8,33.4,3.2,27.8,3.6,34.0,17,2005
164,Iveta Benesova,,,,,,34.0,21,2005
165,Vera Dushevina,3.3333333333333335,48.333333333333336,3.3333333333333335,31.0,7.0,34.0,19,2005
166,Virginie Razzano,1.6,48.2,5.0,33.6,6.4,35.0,18,2005
167,Jelena Kostanic Tosic,2.5,43.0,3.5,30.5,5.5,35.0,13,2005
168,Na Li,1.0,66.0,4.0,37.0,7.0,35.0,28,2005
169,Sesil Karatantcheva,3.0,52.4,5.2,34.6,9.2,36.0,15,2005
170,Evgenia Linetskaya,2.2857142857142856,31.0,2.5714285714285716,22.714285714285715,5.571428571428571,37.0,17,2005
171,Maria Elena Camerin,,,,,,41.0,7,2005
172,Eleni Daniilidou,2.25,51.0,4.0,34.25,7.25,42.0,14,2005
173,Nuria Llagostera Vives,1.0,33.5,4.0,23.5,9.0,45.0,21,2005
174,Dally Randriantefy,,,,,,45.0,17,2005
175,Roberta Vinci,6.0,51.0,2.0,35.0,8.0,45.0,11,2005
176,Jie Zheng,,,,,,46.0,29,2005
177,Samantha Stosur,6.75,38.75,4.25,31.5,2.75,47.0,21,2005
178,Jill Craybas,1.3333333333333333,54.333333333333336,3.3333333333333335,33.666666666666664,10.666666666666666,48.0,17,2005
179,Marta Marrero,,,,,,48.0,2,2005
180,Shahar Peer,1.0,48.0,6.5,30.0,10.5,48.0,16,2005
181,Maria Vento Kabchi,1.3333333333333333,51.666666666666664,3.3333333333333335,32.333333333333336,9.333333333333334,49.0,13,2005
182,Emilie Loit,1.5,31.0,3.0,21.5,7.5,49.0,15,2005
183,Akiko Morigami,3.8,50.0,4.8,35.2,8.0,50.0,22,2005
184,Marta Domachowska,6.0,36.666666666666664,6.333333333333333,29.0,5.333333333333333,50.0,19,2005
185,Denisa Chladkova,1.0,42.0,3.0,30.0,5.0,51.0,7,2005
186,Mashona Washington,4.666666666666667,50.0,2.3333333333333335,33.333333333333336,6.333333333333333,52.0,13,2005
187,Alina Jidkova,,,,,,54.0,7,2005
188,Lucie Safarova,,,,,,55.0,9,2005
189,Mariana Diaz Oliva,1.0,71.0,1.0,38.0,10.0,56.0,22,2005
190,Martina Sucha,1.0,70.0,4.5,37.5,18.0,56.0,15,2005
191,Barbora Strycova,,,,,,57.0,6,2005
192,Catalina Castano,3.0,28.0,1.0,21.0,0.0,60.0,18,2005
193,Laura Granville,1.6,46.2,0.8,31.0,6.4,60.0,12,2005
194,Claudine Schaul,,,,,,61.0,5,2005
195,Virginia Ruano Pascual,1.0,46.0,5.0,19.0,8.0,62.0,7,2005
196,Tathiana Garbin,3.0,52.0,5.0,35.0,10.0,63.0,13,2005
197,Tamarine Tanasugarn,2.4,30.8,3.6,22.2,4.0,64.0,9,2005
198,Maria Sanchez Lorenzo,,,,,,65.0,5,2005
199,Antonella Serra Zanetti,0.5,59.0,3.5,38.5,6.0,66.0,15,2005
200,Kristina Brandi,0.6666666666666666,70.0,3.3333333333333335,45.0,10.666666666666666,67.0,13,2005
201,Michaella Krajicek,,,,,,68.0,10,2005
202,Arantxa Parra Santonja,4.0,54.333333333333336,0.6666666666666666,33.666666666666664,7.666666666666667,69.0,10,2005
203,Shenay Perry,,,,,,69.0,2,2005
204,Abigail Spears,2.0,35.666666666666664,6.666666666666667,25.333333333333332,4.666666666666667,70.0,6,2005
205,Aiko Nakamura,5.0,64.0,8.0,43.0,14.0,70.0,10,2005
206,Ekaterina Bychkova,5.0,33.0,2.0,24.0,3.0,71.0,7,2005
207,Marlene Weingartner,,,,,,73.0,3,2005
208,Marissa Irvin,,,,,,75.0,6,2005
209,Yoon Jeong Cho,0.0,33.0,0.0,26.0,7.0,75.0,6,2005
210,Sofia Arvidsson,,,,,,75.0,7,2005
211,Jamea Jackson,,,,,,76.0,2,2005
212,Tatiana Panova,0.0,49.5,3.5,29.0,11.0,77.0,6,2005
213,Yuliana Fedak,,,,,,79.0,5,2005
214,Zuzana Ondraskova,,,,,,79.0,7,2005
215,Tatiana Perebiynis,2.0,56.0,9.0,34.0,10.0,80.0,3,2005
216,Laura Pous Tio,,,,,,80.0,4,2005
217,Alona Bondarenko,2.5,70.5,2.0,44.0,16.0,82.0,9,2005
218,Ludmila Cervanova,1.0,52.0,6.0,34.0,6.0,82.0,7,2005
219,Julia Schruff,2.0,43.0,1.0,28.0,9.0,83.0,7,2005
220,Petra Mandula,0.0,44.0,9.0,28.0,10.0,84.0,1,2005
221,Mara Santangelo,,,,,,86.0,2,2005
222,Sanda Mamic,6.0,52.0,4.0,31.0,11.0,87.0,4,2005
223,Lindsay Lee Waters,1.0,36.0,3.0,26.0,7.0,87.0,4,2005
