,loser_name,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,loser_id,year
84,Mara Santangelo,1.0,36.0,5.0,18.0,6.0,78.0,2,2004
85,Milagros Sequera,1.0,36.0,6.0,22.0,9.0,79.0,5,2004
86,Els Callens,1.0,40.0,4.0,24.0,8.0,79.0,3,2004
87,Tathiana Garbin,3.0,57.0,2.0,34.0,10.0,79.0,5,2004
88,Vera Dushevina,3.0,35.0,4.0,19.0,11.0,80.0,3,2004
89,Dally Randriantefy,,,,,,81.0,2,2004
90,Tatiana Perebiynis,,,,,,82.0,5,2004
91,Rita Grande,,,,,,83.0,5,2004
92,Stephanie Cohen Aloro,1.0,43.0,7.0,20.0,6.0,87.0,5,2004
93,Sandra Kleinova,,,,,,88.0,1,2004
94,Severine Beltrame,1.0,42.0,2.0,23.0,11.0,89.0,2,2004
95,Anna Lena Groenefeld,1.0,7.0,0.0,4.0,1.0,90.0,6,2004
96,Marlene Weingartner,1.0,38.0,3.0,18.0,13.0,90.0,3,2004
97,Lindsay Lee Waters,,,,,,92.0,1,2004
98,Gala Leon Garcia,,,,,,92.0,4,2004
99,Henrieta Nagyova,1.0,61.0,2.0,26.0,12.0,93.0,4,2004
100,Myriam Casanova,2.0,57.0,7.0,34.0,10.0,93.0,1,2004
101,Silvija Talaja,,,,,,94.0,1,2004
102,Samantha Stosur,2.0,21.0,4.0,10.0,9.0,98.0,2,2004
103,Tara Snyder,,,,,,99.0,1,2004
104,Catalina Castano,,,,,,100.0,1,2004
105,Maria Kirilenko,1.0,55.0,6.0,32.0,14.0,100.0,1,2004
106,Lindsay Davenport,3.0,30.0,6.0,19.0,9.0,1.0,2,2005
107,Maria Sharapova,1.0,40.0,4.0,25.0,7.0,2.0,3,2005
108,Amelie Mauresmo,1.0,61.0,10.0,36.0,13.0,3.0,3,2005
109,Serena Williams,,,,,,4.0,2,2005
110,Elena Dementieva,0.0,71.0,12.0,34.0,16.0,5.0,4,2005
111,Anastasia Myskina,1.5,40.5,2.5,21.0,14.0,6.0,6,2005
112,Mary Pierce,1.0,33.0,5.0,15.0,8.0,6.0,6,2005
113,Svetlana Kuznetsova,1.0,63.0,7.0,37.0,12.5,7.0,4,2005
114,Venus Williams,,,,,,8.0,4,2005
115,Alicia Molik,,,,,,9.0,1,2005
116,Nadia Petrova,0.0,43.0,4.0,23.0,8.0,9.0,5,2005
117,Patty Schnyder,1.5,36.0,4.0,20.0,12.0,10.0,6,2005
118,Vera Zvonareva,1.5,46.0,7.0,27.0,12.0,10.0,6,2005
119,Elena Bovina,2.0,63.0,2.0,36.0,10.5,14.0,4,2005
120,Nathalie Dechy,0.5,48.0,3.5,30.5,8.0,15.0,6,2005
121,Elena Likhovtseva,2.0,27.0,4.0,15.0,7.0,16.0,5,2005
122,Kim Clijsters,2.5,66.0,6.0,40.0,12.0,17.0,3,2005
123,Jelena Jankovic,,,,,,18.0,5,2005
124,Silvia Farina Elia,1.0,50.5,5.0,28.5,9.0,18.0,7,2005
125,Karolina Sprem,1.0,32.0,6.0,14.0,8.0,19.0,6,2005
126,Tatiana Golovin,0.0,39.0,7.0,29.0,5.0,19.0,4,2005
127,Francesca Schiavone,0.0,31.0,4.5,17.5,7.0,20.0,5,2005
128,Shinobu Asagoe,,,,,,21.0,5,2005
129,Daniela Hantuchova,0.5,44.5,3.5,23.5,7.5,22.0,4,2005
130,Ai Sugiyama,,,,,,22.0,6,2005
131,Fabiola Zuluaga,0.0,43.0,5.0,17.0,12.0,24.0,5,2005
132,Flavia Pennetta,0.0,37.0,6.0,22.0,10.0,24.0,6,2005
133,Magdalena Maleeva,1.0,45.5,2.5,24.0,11.0,27.0,5,2005
134,Paola Suarez,0.0,60.0,10.0,31.0,19.0,27.0,3,2005
135,Amy Frazier,0.0,42.0,7.0,22.0,14.0,30.0,4,2005
136,Dinara Safina,3.0,27.0,2.0,17.0,6.0,30.0,4,2005
137,Ana Ivanovic,1.0,42.5,6.0,20.0,12.0,31.0,4,2005
138,Gisela Dulko,,,,,,32.0,6,2005
139,Conchita Martinez,2.0,68.0,3.0,37.0,22.0,32.0,5,2005
140,Marion Bartoli,0.0,45.0,2.0,22.0,7.0,33.0,1,2005
141,Nicole Vaidisova,3.0,46.0,4.0,27.0,8.0,34.0,4,2005
142,Meghann Shaughnessy,9.0,55.0,5.0,34.0,15.0,34.0,7,2005
143,Anabel Medina Garrigues,0.0,63.0,5.0,34.0,16.0,34.0,5,2005
144,Na Li,,,,,,35.0,2,2005
145,Virginie Razzano,2.5,68.0,9.5,39.5,12.0,35.0,7,2005
146,Anna Smashnova,1.0,33.5,4.0,15.0,9.5,35.0,7,2005
147,Jelena Kostanic Tosic,1.0,21.0,4.0,12.0,6.0,36.0,10,2005
148,Evgenia Linetskaya,1.0,58.0,2.0,29.0,17.0,39.0,4,2005
149,Klara Koukalova,,,,,,39.0,6,2005
150,Shuai Peng,4.0,53.0,5.0,34.0,6.0,43.0,6,2005
151,Dally Randriantefy,1.0,27.0,5.0,11.0,9.0,44.0,8,2005
152,Anna Lena Groenefeld,4.0,46.0,4.0,30.0,9.0,44.0,6,2005
153,Nuria Llagostera Vives,0.0,26.0,3.0,12.0,8.0,45.0,5,2005
154,Lisa Raymond,2.0,37.0,9.0,19.0,13.0,45.0,4,2005
155,Maria Kirilenko,1.5,33.5,1.0,20.5,7.0,45.0,4,2005
156,Katarina Srebotnik,0.0,61.0,2.0,32.0,19.0,46.0,7,2005
157,Vera Dushevina,1.0,37.0,1.0,13.0,9.0,46.0,5,2005
158,Emilie Loit,0.0,49.0,5.0,30.0,8.0,49.0,9,2005
159,Marta Domachowska,1.5,37.5,9.0,22.5,9.0,50.0,7,2005
160,Iveta Benesova,,,,,,51.0,7,2005
161,Samantha Stosur,1.0,24.0,3.0,12.0,8.0,52.0,5,2005
162,Mashona Washington,0.5,39.0,5.0,16.5,12.5,52.0,6,2005
163,Maria Vento Kabchi,0.0,39.5,4.5,21.5,10.5,53.0,5,2005
164,Denisa Chladkova,0.0,32.0,2.0,17.0,7.5,54.0,8,2005
165,Roberta Vinci,1.0,64.0,4.0,40.0,13.0,55.0,4,2005
166,Jie Zheng,0.0,72.0,2.0,44.0,8.0,56.0,4,2005
167,Anna Chakvetadze,1.5,33.5,7.0,22.5,7.0,56.0,5,2005
168,Alina Jidkova,1.0,51.0,0.0,31.0,11.0,57.0,6,2005
169,Maria Elena Camerin,0.0,42.0,4.0,17.0,13.0,58.0,6,2005
170,Martina Sucha,0.0,36.0,3.0,14.0,18.0,58.0,9,2005
171,Kveta Peschke,1.0,50.0,3.0,28.0,11.0,59.0,3,2005
172,Virginia Ruano Pascual,0.0,39.0,4.0,19.0,11.0,60.0,5,2005
173,Jill Craybas,0.0,49.0,1.0,22.0,11.0,60.0,5,2005
174,Lucie Safarova,,,,,,64.0,1,2005
175,Tathiana Garbin,1.0,51.0,6.0,25.0,14.0,64.0,7,2005
176,Maria Sanchez Lorenzo,,,,,,65.0,5,2005
177,Barbora Strycova,,,,,,66.0,6,2005
178,Tamarine Tanasugarn,2.0,39.0,5.0,15.0,12.0,67.0,4,2005
179,Mariana Diaz Oliva,1.0,33.0,4.0,19.0,8.0,67.0,10,2005
180,Abigail Spears,1.0,33.0,7.0,14.0,13.0,68.0,1,2005
181,Antonella Serra Zanetti,0.0,22.0,2.0,5.0,6.0,68.0,8,2005
182,Arantxa Parra Santonja,3.0,43.0,3.0,19.0,14.0,69.0,8,2005
183,Marlene Weingartner,2.0,35.0,5.0,17.0,10.0,69.0,3,2005
184,Sania Mirza,1.0,28.0,5.0,12.0,9.0,70.0,1,2005
185,Akiko Morigami,0.0,51.0,3.0,21.0,16.0,72.0,4,2005
186,Marissa Irvin,,,,,,73.0,5,2005
187,Marta Marrero,,,,,,74.0,5,2005
188,Yuliana Fedak,1.0,60.0,2.0,35.0,8.0,76.0,5,2005
189,Claudine Schaul,,,,,,76.0,4,2005
190,Tatiana Perebiynis,4.0,64.0,7.0,41.5,13.5,77.0,6,2005
191,Alona Bondarenko,0.0,70.0,6.0,38.0,16.0,78.0,6,2005
192,Catalina Castano,6.0,31.0,5.0,19.0,12.0,78.0,7,2005
193,Eleni Daniilidou,1.0,37.0,10.0,24.0,7.0,80.0,5,2005
194,Kristina Brandi,0.0,37.0,3.0,16.0,14.0,80.0,4,2005
195,Zuzana Ondraskova,,,,,,81.0,3,2005
196,Yoon Jeong Cho,1.0,45.0,1.0,21.0,8.0,82.0,2,2005
197,Julia Schruff,1.0,46.0,5.0,28.0,11.0,83.0,4,2005
198,Shahar Peer,0.0,31.0,2.0,15.0,13.0,84.0,4,2005
199,Laura Pous Tio,,,,,,84.0,1,2005
200,Sanda Mamic,2.0,36.0,7.0,22.0,12.0,87.0,3,2005
201,Lubomira Kurhajcova,,,,,,88.0,2,2005
202,Ludmila Cervanova,1.0,22.0,5.0,12.0,8.0,88.0,5,2005
203,Tatiana Panova,1.0,37.0,4.0,22.0,4.0,89.0,3,2005
204,Anne Kremer,1.0,46.0,1.0,23.0,10.0,91.0,5,2005
205,Severine Beltrame,,,,,,91.0,3,2005
206,Michaela Pastikova,,,,,,91.0,3,2005
207,Nicole Pratt,,,,,,92.0,2,2005
208,Stephanie Foretz Gacon,,,,,,92.0,1,2005
209,Aiko Nakamura,2.0,53.0,9.0,32.0,10.0,95.0,2,2005
210,Stephanie Cohen Aloro,,,,,,96.0,3,2005
211,Sesil Karatantcheva,0.0,88.0,7.0,47.0,16.0,98.0,1,2005
212,Lilia Osterloh,0.0,24.0,7.0,6.0,12.0,99.0,1,2005
213,Amelie Mauresmo,1.5,55.0,1.5,29.5,9.5,1.0,3,2006
