,winner_name,w_ace,w_1stIn,w_df,w_1stWon,w_bpFaced,winner_rank,winner_id,year
78,Barbora Strycova,,,,,,64.0,5,2004
79,Katarina Srebotnik,4.0,34.0,3.0,26.0,1.0,68.0,5,2004
80,Dally Randriantefy,1.0,45.0,2.0,30.0,9.0,69.0,3,2004
81,Rita Grande,,,,,,69.0,5,2004
82,Lubomira Kurhajcova,,,,,,71.0,6,2004
83,Els Callens,,,,,,72.0,1,2004
84,Julia Vakulenko,6.0,48.0,5.0,34.0,5.0,73.0,5,2004
85,Milagros Sequera,,,,,,74.0,2,2004
86,Anna Lena Groenefeld,,,,,,74.0,2,2004
87,Shenay Perry,,,,,,75.0,1,2004
88,Tatiana Perebiynis,,,,,,75.0,6,2004
89,Barbara Schett,1.0,58.0,3.0,45.0,7.0,76.0,8,2004
90,Vera Dushevina,1.0,43.0,2.5,25.0,9.5,77.0,6,2004
91,Melinda Czink,0.0,44.0,1.0,28.0,8.0,77.0,1,2004
92,Samantha Stosur,6.0,44.0,1.0,31.0,3.0,77.0,6,2004
93,Martina Sucha,,,,,,78.0,14,2004
94,Mara Santangelo,,,,,,79.0,4,2004
95,Marta Domachowska,,,,,,79.0,5,2004
96,Nuria Llagostera Vives,,,,,,79.0,1,2004
97,Virginie Razzano,,,,,,80.0,4,2004
98,Samantha Reeves,,,,,,82.0,1,2004
99,Marissa Irvin,,,,,,84.0,2,2004
100,Tatiana Panova,,,,,,84.0,2,2004
101,Sandra Kleinova,,,,,,85.0,1,2004
102,Henrieta Nagyova,,,,,,86.0,2,2004
103,Lindsay Lee Waters,3.0,48.0,3.0,31.0,9.0,86.0,4,2004
104,Zuzana Ondraskova,,,,,,86.0,1,2004
105,Yuliana Fedak,,,,,,87.0,1,2004
106,Marie Gaiane Mikaelian,,,,,,88.0,1,2004
107,Shuai Peng,,,,,,92.0,2,2004
108,Gala Leon Garcia,,,,,,98.0,2,2004
109,Antonella Serra Zanetti,,,,,,98.0,2,2004
110,Severine Beltrame,10.0,79.0,3.0,54.0,9.0,98.0,1,2004
111,Lindsay Davenport,7.083333333333333,38.5,4.083333333333333,28.583333333333332,5.75,1.0,40,2005
112,Maria Sharapova,4.6,47.4,2.7,32.5,6.3,1.0,29,2005
113,Kim Clijsters,2.375,38.25,3.375,27.0,4.625,2.0,45,2005
114,Amelie Mauresmo,2.727272727272727,41.72727272727273,3.727272727272727,30.545454545454547,6.2727272727272725,2.0,38,2005
115,Anastasia Myskina,2.5,28.0,2.75,18.5,6.25,3.0,27,2005
116,Serena Williams,5.6,36.9,2.4,27.5,4.8,4.0,16,2005
117,Svetlana Kuznetsova,6.0,25.75,1.5,19.25,3.25,4.0,11,2005
118,Justine Henin,1.5,39.0,8.0,29.5,7.5,5.0,10,2005
119,Mary Pierce,4.7,42.6,1.0,31.2,4.2,5.0,20,2005
120,Elena Dementieva,1.1428571428571428,52.714285714285715,10.428571428571429,36.0,9.571428571428571,5.0,28,2005
121,Venus Williams,3.0,36.42857142857143,3.857142857142857,26.0,5.0,7.0,20,2005
122,Patty Schnyder,4.285714285714286,50.42857142857143,1.8571428571428572,34.142857142857146,7.571428571428571,8.0,42,2005
123,Alicia Molik,7.5,35.25,1.75,28.0,3.75,8.0,17,2005
124,Nadia Petrova,5.285714285714286,32.42857142857143,3.0,24.857142857142858,4.0,9.0,34,2005
125,Vera Zvonareva,3.0,31.833333333333332,2.3333333333333335,24.666666666666668,4.166666666666667,11.0,11,2005
126,Nathalie Dechy,1.1666666666666667,58.666666666666664,3.6666666666666665,37.833333333333336,9.166666666666666,13.0,28,2005
127,Francesca Schiavone,5.666666666666667,33.666666666666664,1.5,25.666666666666668,3.0,15.0,27,2005
128,Elena Bovina,,,,,,15.0,3,2005
129,Fabiola Zuluaga,2.0,29.5,2.0,23.5,3.0,16.0,7,2005
130,Ana Ivanovic,3.0,21.0,0.0,19.0,0.0,16.0,21,2005
131,Elena Likhovtseva,1.6666666666666667,48.0,4.666666666666667,25.666666666666668,9.666666666666666,16.0,15,2005
132,Jelena Jankovic,,,,,,17.0,22,2005
133,Nicole Vaidisova,8.0,43.285714285714285,3.7142857142857144,29.285714285714285,4.142857142857143,18.0,35,2005
134,Karolina Sprem,0.5,33.0,5.5,22.5,6.0,18.0,12,2005
135,Daniela Hantuchova,5.25,33.0,1.25,26.0,3.25,19.0,31,2005
136,Silvia Farina Elia,0.6666666666666666,39.666666666666664,1.6666666666666667,25.666666666666668,4.666666666666667,19.0,10,2005
137,Dinara Safina,2.0,60.0,4.0,39.0,11.0,21.0,16,2005
138,Ai Sugiyama,0.5,46.0,6.0,30.0,7.5,21.0,20,2005
139,Tatiana Golovin,3.0,45.0,7.5,30.0,8.0,23.0,21,2005
140,Anna Lena Groenefeld,4.5,37.5,4.0,26.25,6.5,23.0,27,2005
141,Flavia Pennetta,,,,,,24.0,13,2005
142,Anna Chakvetadze,2.0,37.5,7.0,22.5,9.0,24.0,15,2005
143,Magdalena Maleeva,2.5,28.0,1.5,24.5,3.0,25.0,10,2005
144,Shinobu Asagoe,1.3333333333333333,40.333333333333336,2.0,24.333333333333332,7.0,25.0,15,2005
145,Maria Kirilenko,,,,,,26.0,22,2005
146,Amy Frazier,0.0,56.0,8.0,31.0,13.0,26.0,14,2005
147,Anabel Medina Garrigues,4.0,45.0,0.0,30.0,9.0,27.0,12,2005
148,Gisela Dulko,5.0,49.0,5.0,27.0,14.0,28.0,21,2005
149,Lisa Raymond,1.0,36.0,1.0,24.0,4.0,30.0,11,2005
150,Marion Bartoli,1.0,35.0,1.3333333333333333,23.0,6.333333333333333,30.0,21,2005
151,Sania Mirza,2.5,53.5,6.5,36.0,13.0,31.0,18,2005
152,Conchita Martinez,,,,,,31.0,20,2005
