,loser_name,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,loser_id,year
96,Mervana Jugic Salkic,,,,,,99.0,1,2004
97,Lindsay Davenport,5.0,80.0,5.0,49.0,8.0,1.0,1,2005
98,Maria Sharapova,0.0,55.0,2.0,28.0,9.0,2.0,1,2005
99,Amelie Mauresmo,8.0,76.0,6.0,54.0,13.0,3.0,2,2005
100,Serena Williams,3.0,37.0,2.0,21.0,8.0,4.0,1,2005
101,Svetlana Kuznetsova,7.0,38.0,7.0,28.0,8.0,5.0,2,2005
102,Elena Dementieva,0.0,100.0,3.0,49.0,19.0,5.0,2,2005
103,Justine Henin,3.0,48.0,11.0,35.0,8.0,7.0,1,2005
104,Nadia Petrova,6.0,37.0,1.0,29.0,2.0,8.0,2,2005
105,Alicia Molik,9.0,43.0,2.0,30.0,6.0,9.0,1,2005
106,Anastasia Myskina,2.0,33.0,0.0,18.0,9.0,10.0,2,2005
107,Patty Schnyder,5.0,60.0,9.0,36.0,17.0,11.0,1,2005
108,Vera Zvonareva,1.0,44.0,3.0,28.0,8.0,12.0,2,2005
109,Kim Clijsters,2.0,66.0,4.0,39.0,8.0,13.0,1,2005
110,Mary Pierce,1.0,44.0,5.0,29.0,8.0,14.0,1,2005
111,Elena Likhovtseva,1.0,28.0,7.0,17.0,11.0,15.0,2,2005
112,Nathalie Dechy,0.0,45.0,0.0,25.0,8.0,18.0,2,2005
113,Jelena Jankovic,8.0,99.0,10.0,53.0,33.0,19.0,3,2005
114,Tatiana Golovin,2.5,53.0,4.0,31.0,11.5,19.0,2,2005
115,Ana Ivanovic,1.0,25.0,2.0,19.0,6.0,21.0,1,2005
116,Silvia Farina Elia,1.0,75.0,5.0,37.0,12.0,22.0,2,2005
117,Daniela Hantuchova,6.0,60.0,6.5,41.5,10.5,22.0,3,2005
118,Francesca Schiavone,12.0,47.0,2.0,41.0,7.0,23.0,1,2005
119,Shinobu Asagoe,1.0,56.5,2.5,32.0,7.5,24.0,3,2005
120,Ai Sugiyama,2.0,52.0,2.5,29.5,10.5,25.0,3,2005
121,Marion Bartoli,0.5,47.0,0.0,21.5,14.0,27.0,3,2005
122,Karolina Sprem,1.0,18.0,4.0,9.0,6.0,28.0,2,2005
123,Gisela Dulko,4.0,35.0,4.0,23.0,6.0,29.0,2,2005
124,Amy Frazier,,,,,,30.0,2,2005
125,Nicole Vaidisova,7.5,53.0,4.0,31.5,10.5,30.0,3,2005
126,Dinara Safina,2.0,32.0,4.0,16.0,8.0,32.0,2,2005
127,Anabel Medina Garrigues,,,,,,34.0,2,2005
128,Flavia Pennetta,2.0,34.0,5.0,21.0,10.0,34.0,1,2005
129,Virginie Razzano,0.5,54.5,5.5,34.0,9.0,35.0,3,2005
130,Nuria Llagostera Vives,1.0,29.0,3.0,19.0,6.0,36.0,2,2005
131,Vera Dushevina,,,,,,37.0,2,2005
132,Magdalena Maleeva,2.0,27.0,3.0,15.0,10.0,38.0,2,2005
133,Anna Chakvetadze,2.0,31.5,5.0,20.5,6.0,39.0,3,2005
134,Anna Lena Groenefeld,3.5,35.5,7.5,23.5,6.5,40.0,3,2005
135,Evgenia Linetskaya,1.5,59.5,2.5,36.5,12.5,40.0,2,2005
136,Klara Koukalova,,,,,,41.0,1,2005
137,Lisa Raymond,5.0,36.0,4.5,17.0,10.0,46.0,3,2005
138,Dally Randriantefy,1.0,27.0,5.0,11.0,9.0,46.0,2,2005
139,Conchita Martinez,,,,,,47.0,2,2005
140,Marta Domachowska,,,,,,48.0,2,2005
141,Samantha Stosur,6.0,45.5,8.5,33.5,11.0,49.0,3,2005
142,Sesil Karatantcheva,0.0,20.0,1.0,4.0,5.0,52.0,1,2005
143,Iveta Benesova,,,,,,52.0,2,2005
144,Mashona Washington,0.5,43.5,4.0,23.5,11.0,53.0,3,2005
145,Maria Kirilenko,0.5,38.0,5.0,22.5,8.0,53.0,3,2005
146,Maria Vento Kabchi,0.0,38.0,4.0,16.0,5.0,55.0,3,2005
147,Anna Smashnova,0.0,36.0,5.0,19.0,6.0,57.0,2,2005
148,Katarina Srebotnik,0.0,37.0,2.0,20.0,10.0,57.0,2,2005
149,Jelena Kostanic Tosic,1.0,59.0,2.0,38.0,8.0,60.0,2,2005
150,Lucie Safarova,6.0,32.0,2.0,25.0,6.0,60.0,2,2005
151,Akiko Morigami,0.5,50.5,5.5,31.0,12.5,61.0,2,2005
152,Kveta Peschke,0.0,69.0,6.0,48.0,10.0,61.0,2,2005
153,Shahar Peer,3.0,50.0,5.0,31.0,8.0,62.0,2,2005
154,Meghann Shaughnessy,5.0,36.0,5.0,28.0,3.5,63.0,3,2005
155,Tamarine Tanasugarn,1.0,42.0,4.0,25.0,5.0,64.0,2,2005
156,Roberta Vinci,1.5,35.5,5.5,19.5,11.0,64.0,2,2005
157,Maria Elena Camerin,1.0,63.0,1.0,39.0,10.0,65.0,3,2005
158,Denisa Chladkova,,,,,,65.0,2,2005
159,Abigail Spears,4.0,48.5,7.0,32.0,12.0,66.0,2,2005
