,loser_name,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,loser_id,year
78,Barbora Strycova,1.0,32.0,5.0,20.0,6.0,58.0,8,2004
79,Jie Zheng,0.0,37.5,2.0,18.0,10.5,58.0,10,2004
80,Emmanuelle Gagliardi,0.5,33.5,2.0,19.0,7.0,58.0,10,2004
81,Ludmila Cervanova,0.0,27.0,2.0,12.0,7.5,59.0,6,2004
82,Vera Dushevina,3.0,52.0,4.0,28.0,11.0,63.0,8,2004
83,Stephanie Cohen Aloro,4.0,60.0,9.0,31.0,16.0,63.0,5,2004
84,Melinda Czink,1.0,51.0,4.0,27.0,15.0,65.0,6,2004
85,Samantha Stosur,0.0,26.0,1.0,17.0,6.0,65.0,7,2004
86,Julia Vakulenko,6.0,37.0,7.0,26.0,9.0,68.0,6,2004
87,Els Callens,1.0,42.0,2.0,26.0,4.0,68.0,6,2004
88,Rita Grande,0.5,48.0,0.5,26.0,8.5,69.0,10,2004
89,Marissa Irvin,,,,,,69.0,8,2004
90,Dally Randriantefy,1.0,55.5,2.5,25.0,10.5,69.0,5,2004
91,Lubomira Kurhajcova,2.0,28.5,3.0,19.0,6.0,71.0,11,2004
92,Anna Lena Groenefeld,2.0,53.0,5.0,33.0,7.0,71.0,7,2004
93,Milagros Sequera,0.5,28.5,4.5,14.5,11.0,72.0,5,2004
94,Martina Sucha,2.0,55.0,6.0,35.0,12.0,72.0,11,2004
95,Nicole Vaidisova,,,,,,72.0,1,2004
96,Samantha Reeves,0.0,20.0,7.0,4.0,8.0,74.0,4,2004
97,Tatiana Panova,1.0,29.0,6.0,14.0,6.0,74.0,5,2004
98,Tatiana Perebiynis,2.5,43.5,3.0,24.5,11.5,75.0,7,2004
99,Shenay Perry,11.0,74.0,11.0,53.0,12.0,75.0,5,2004
100,Lindsay Lee Waters,0.0,35.0,6.0,23.0,6.0,77.0,10,2004
101,Myriam Casanova,3.5,45.5,4.5,24.5,11.5,77.0,5,2004
102,Mara Santangelo,0.0,29.0,5.0,15.0,11.0,79.0,7,2004
103,Nuria Llagostera Vives,2.0,33.0,6.0,22.0,11.0,79.0,2,2004
104,Marta Domachowska,,,,,,79.0,2,2004
105,Henrieta Nagyova,0.5,41.5,1.0,18.0,8.5,82.0,5,2004
106,Zuzana Ondraskova,1.0,47.0,4.0,23.0,14.0,83.0,5,2004
107,Sandra Kleinova,0.0,46.0,7.0,28.0,12.5,84.0,6,2004
108,Alexandra Stevenson,1.0,30.0,2.0,16.0,4.0,86.0,2,2004
109,Yuliana Fedak,,,,,,87.0,2,2004
110,Marie Gaiane Mikaelian,1.0,17.0,4.0,7.0,7.0,88.0,4,2004
111,Antonella Serra Zanetti,,,,,,90.0,2,2004
112,Shuai Peng,,,,,,92.0,1,2004
113,Silvija Talaja,2.0,28.0,1.0,17.0,7.0,93.0,2,2004
114,Stephanie Foretz Gacon,,,,,,93.0,2,2004
115,Clarisa Fernandez,3.0,52.0,6.0,35.0,19.0,94.0,2,2004
116,Gala Leon Garcia,2.0,63.0,4.0,33.0,13.0,95.0,2,2004
117,Teryn Ashley,,,,,,96.0,1,2004
118,Severine Beltrame,0.0,26.0,2.0,13.0,9.0,96.0,3,2004
