,loser_name,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,loser_id,year
68,Marta Marrero,1.0,42.0,5.25,24.25,12.0,47.0,20,2004
69,Jie Zheng,0.25,43.25,2.5,22.0,10.25,48.0,18,2004
70,Mashona Washington,4.0,38.0,4.0,26.0,10.0,51.0,8,2004
71,Akiko Morigami,1.5,45.25,3.5,25.0,10.75,51.0,24,2004
72,Jill Craybas,0.0,41.0,1.5,21.0,9.0,52.0,19,2004
73,Arantxa Parra Santonja,5.25,35.5,2.75,21.75,9.75,52.0,26,2004
74,Tathiana Garbin,2.6666666666666665,65.33333333333333,6.0,41.0,11.333333333333334,53.0,19,2004
75,Virginia Ruano Pascual,0.25,53.75,4.333333333333333,25.0,11.25,53.0,17,2004
76,Barbara Schett,4.5,51.0,3.5,29.25,12.75,54.0,17,2004
77,Martina Sucha,1.6666666666666667,47.666666666666664,6.333333333333333,29.0,12.333333333333334,56.0,20,2004
78,Virginie Razzano,,,,,,57.0,2,2004
79,Alina Jidkova,2.3333333333333335,45.333333333333336,2.6666666666666665,28.666666666666668,11.333333333333334,57.0,16,2004
80,Barbora Strycova,0.5,28.5,3.5,15.5,7.0,58.0,15,2004
81,Ludmila Cervanova,0.25,31.75,3.25,16.75,9.75,58.0,18,2004
82,Emmanuelle Gagliardi,0.5,33.5,2.0,19.0,7.0,58.0,15,2004
83,Lubomira Kurhajcova,3.0,37.0,4.25,23.25,6.75,59.0,21,2004
84,Stephanie Cohen Aloro,2.5,51.5,8.0,25.5,11.0,63.0,13,2004
85,Vera Dushevina,3.0,39.0,3.6666666666666665,22.333333333333332,10.333333333333334,63.0,13,2004
86,Melinda Czink,1.0,43.0,2.5,22.0,10.0,64.0,17,2004
87,Samantha Stosur,1.0,23.5,2.5,13.5,7.5,65.0,11,2004
88,Els Callens,1.3333333333333333,39.666666666666664,2.6666666666666665,23.0,6.666666666666667,68.0,12,2004
89,Julia Vakulenko,3.0,36.5,3.5,22.0,7.5,68.0,15,2004
90,Marissa Irvin,,,,,,69.0,9,2004
91,Rita Grande,0.5,48.0,0.5,26.0,8.5,69.0,17,2004
92,Dally Randriantefy,0.6666666666666666,46.0,2.6666666666666665,21.0,8.666666666666666,69.0,8,2004
93,Anna Lena Groenefeld,1.5,30.0,2.5,18.5,4.0,71.0,14,2004
94,Nicole Vaidisova,,,,,,72.0,1,2004
95,Milagros Sequera,0.6666666666666666,31.0,5.0,17.0,10.333333333333334,72.0,13,2004
96,Myriam Casanova,3.0,49.333333333333336,5.333333333333333,27.666666666666668,11.0,74.0,7,2004
97,Marie Gaiane Mikaelian,2.5,39.0,5.5,21.5,11.5,74.0,10,2004
98,Samantha Reeves,1.6666666666666667,33.333333333333336,7.0,16.666666666666668,9.666666666666666,74.0,10,2004
99,Tatiana Panova,1.0,29.0,6.0,14.0,6.0,74.0,5,2004
100,Tatiana Perebiynis,2.5,43.5,3.0,24.5,11.5,75.0,14,2004
101,Shenay Perry,11.0,74.0,11.0,53.0,12.0,75.0,7,2004
102,Lindsay Lee Waters,0.0,35.0,6.0,23.0,6.0,77.0,12,2004
103,Mara Santangelo,0.5,32.5,5.0,16.5,8.5,78.0,11,2004
104,Marta Domachowska,,,,,,79.0,2,2004
105,Nuria Llagostera Vives,2.0,33.0,6.0,22.0,11.0,79.0,2,2004
106,Henrieta Nagyova,0.6666666666666666,48.0,1.3333333333333333,20.666666666666668,9.666666666666666,82.0,10,2004
