,loser_name,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,loser_id,year
64,Nicolas Lapentti,3.3333333333333335,39.55555555555556,2.7777777777777777,25.0,8.0,59.0,10,2004
65,Thomas Enqvist,4.0,40.0,4.0,24.333333333333332,9.666666666666666,61.0,3,2004
66,Victor Hanescu,3.909090909090909,54.63636363636363,1.7272727272727273,35.27272727272727,7.454545454545454,63.0,12,2004
67,Olivier Rochus,1.0,51.25,3.75,30.375,11.25,63.0,9,2004
68,Todd Martin,9.5,46.25,2.75,35.75,7.75,63.0,4,2004
69,Antony Dupuis,4.2,43.0,2.8,26.0,8.6,66.0,5,2004
70,Tomas Berdych,5.857142857142857,45.285714285714285,4.428571428571429,30.428571428571427,10.0,67.0,7,2004
71,Dmitry Tursunov,3.0,38.25,3.25,20.0,9.5,68.0,4,2004
72,Wayne Ferreira,5.0,76.0,8.0,47.0,13.0,68.0,1,2004
73,Mario Ancic,4.0,40.4,2.0,26.6,7.4,69.0,5,2004
74,Guillermo Canas,3.7142857142857144,52.857142857142854,4.0,34.714285714285715,10.571428571428571,70.0,7,2004
75,Jose Acasuso,4.0,39.0,4.125,25.25,9.625,70.0,8,2004
76,Albert Montanes,1.375,33.125,2.875,18.625,8.75,71.0,8,2004
77,Ruben Ramirez Hidalgo,1.3,45.4,2.9,28.8,10.0,71.0,10,2004
78,Karol Kucera,2.6666666666666665,50.333333333333336,3.0,31.0,8.0,71.0,3,2004
79,Dennis Van Scheppingen,0.8,33.6,3.6,21.2,9.4,72.0,5,2004
80,Raemon Sluiter,3.6666666666666665,38.5,2.1666666666666665,25.166666666666668,7.833333333333333,74.0,7,2004
81,Nicolas Escude,1.5,22.5,3.0,13.5,10.0,76.0,2,2004
82,Paul Henri Mathieu,2.0,44.666666666666664,3.0,27.666666666666668,11.333333333333334,77.0,4,2004
83,Cyril Saulnier,4.5,48.25,6.0,31.25,13.0,79.0,4,2004
84,Galo Blanco,3.125,36.875,2.125,22.0,7.625,80.0,8,2004
85,Potito Starace,0.0,33.5,2.0,18.0,5.5,80.0,2,2004
86,Karol Beck,3.6666666666666665,35.333333333333336,6.333333333333333,21.666666666666668,12.666666666666666,80.0,3,2004
87,Greg Rusedski,,,,,,80.0,1,2004
88,Oscar Hernandez,1.0,45.92307692307692,1.8461538461538463,27.53846153846154,7.461538461538462,81.0,13,2004
89,Alexander Popp,2.4,45.2,7.0,31.0,7.6,81.0,5,2004
90,Thierry Ascione,1.6666666666666667,41.833333333333336,3.0,25.833333333333332,7.0,82.0,7,2004
91,Philipp Kohlschreiber,3.5,35.5,3.0,22.0,6.5,82.0,2,2004
92,Stefan Koubek,1.625,45.25,2.75,28.375,9.0,82.0,9,2004
93,Albert Portas,3.2,31.8,4.6,20.6,8.0,83.0,5,2004
94,Jan Michael Gambill,7.666666666666667,46.666666666666664,2.0,32.0,11.333333333333334,84.0,3,2004
95,Richard Gasquet,0.3333333333333333,41.333333333333336,3.6666666666666665,27.666666666666668,10.0,85.0,3,2004
96,Juan Monaco,1.0,35.333333333333336,0.6666666666666666,22.0,5.333333333333333,86.0,3,2004
97,Olivier Patience,5.25,42.75,5.0,28.0,8.0,87.0,4,2004
98,Alex Calatrava,2.0,49.333333333333336,1.3333333333333333,29.666666666666668,6.666666666666667,88.0,3,2004
99,Lars Burgsmuller,2.0,39.75,3.25,24.0,7.75,89.0,4,2004
100,Wayne Arthurs,7.0,38.0,10.0,30.0,10.0,89.0,2,2004
101,Alex Corretja,2.0,47.666666666666664,4.333333333333333,29.666666666666668,10.5,91.0,6,2004
102,Julien Benneteau,3.0,54.0,7.0,38.0,7.0,92.0,1,2004
103,John Van Lottum,2.0,40.333333333333336,2.6666666666666665,25.666666666666668,6.0,92.0,4,2004
104,Olivier Mutis,2.0,34.5,1.5,17.5,6.5,93.0,2,2004
105,Michael Llodra,12.0,105.0,4.0,70.0,15.0,94.0,1,2004
106,Kristof Vliegen,3.0,45.5,2.5,26.0,9.0,96.0,2,2004
107,Jan Vacek,2.0,47.0,4.0,27.0,13.0,96.0,1,2004
108,Thomas Johansson,7.0,26.0,2.0,17.0,9.0,97.0,1,2004
109,Harel Levy,4.0,41.0,1.0,27.666666666666668,10.666666666666666,98.0,3,2004
110,Nicolas Almagro,1.0,22.0,1.0,11.0,7.0,99.0,1,2004
111,Kenneth Carlsen,7.0,33.0,4.0,24.0,7.0,99.0,1,2004
112,Gilles Elseneer,7.0,66.0,6.0,40.0,20.0,100.0,1,2004
113,Roger Federer,3.5,71.5,3.0,46.0,10.5,1.0,2,2005
114,Andy Roddick,14.666666666666666,86.33333333333333,2.6666666666666665,63.666666666666664,10.333333333333334,3.0,3,2005
115,Marat Safin,7.0,57.2,2.6,37.6,11.4,3.0,5,2005
116,Gaston Gaudio,2.375,56.875,3.0,33.875,14.0,5.0,8,2005
117,Guillermo Coria,2.8333333333333335,79.0,5.333333333333333,47.833333333333336,14.833333333333334,5.0,6,2005
118,Tim Henman,7.0,59.25,3.5,40.0,13.75,5.0,4,2005
119,Carlos Moya,3.4444444444444446,51.0,1.3333333333333333,31.555555555555557,8.222222222222221,6.0,10,2005
120,Andre Agassi,5.5,57.25,5.5,38.25,15.0,7.0,4,2005
121,Nikolay Davydenko,2.3,46.1,2.0,28.0,7.5,7.0,10,2005
122,David Nalbandian,4.333333333333333,65.0,4.0,41.333333333333336,12.333333333333334,10.0,3,2005
123,Guillermo Canas,3.5714285714285716,52.42857142857143,2.857142857142857,34.0,9.285714285714286,10.0,7,2005
124,Mariano Puerta,4.0,51.27272727272727,2.090909090909091,32.72727272727273,8.727272727272727,10.0,11,2005
125,Joachim Johansson,6.166666666666667,37.5,5.333333333333333,26.833333333333332,5.833333333333333,11.0,8,2005
126,Ivan Ljubicic,10.0,38.2,2.4,25.4,5.0,12.0,5,2005
127,David Ferrer,1.0,44.266666666666666,3.0,25.866666666666667,9.8,13.0,15,2005
128,Fernando Gonzalez,5.111111111111111,53.77777777777778,6.111111111111111,38.55555555555556,8.11111111111111,14.0,9,2005
129,Tommy Robredo,1.5,45.0,1.8,27.3,11.3,15.0,10,2005
130,Radek Stepanek,4.833333333333333,58.0,3.5,39.0,11.5,15.0,6,2005
131,Rafael Nadal,2.0,50.0,2.5,27.0,15.0,17.0,2,2005
132,Thomas Johansson,5.2,51.0,2.4,32.6,13.2,17.0,6,2005
133,Richard Gasquet,1.3333333333333333,41.0,4.333333333333333,27.0,6.333333333333333,17.0,4,2005
