,winner_name,w_ace,w_1stIn,w_df,w_1stWon,w_bpFaced,winner_rank,winner_id,year
63,Fabrice Santoro,6.5,71.5,2.0,48.25,11.0,58.0,4,2004
64,Nicolas Escude,8.5,45.0,2.75,35.5,5.75,61.0,5,2004
65,Olivier Rochus,1.25,42.0,1.375,28.875,5.625,63.0,8,2004
66,Todd Martin,6.666666666666667,49.666666666666664,2.6666666666666665,37.666666666666664,3.6666666666666665,63.0,3,2004
67,Victor Hanescu,3.7,52.3,1.0,37.7,5.9,63.0,12,2004
68,Thomas Enqvist,6.0,59.0,2.5,47.5,10.5,65.0,2,2004
69,Nicolas Lapentti,2.5,28.5,1.5,22.5,4.5,67.0,2,2004
70,Mario Ancic,11.0,50.666666666666664,3.5,39.166666666666664,6.166666666666667,69.0,6,2004
71,Jose Acasuso,5.0,31.0,1.8,25.7,2.8,70.0,10,2004
72,Ruben Ramirez Hidalgo,5.0,43.75,4.0,33.25,6.75,71.0,5,2004
73,Karol Kucera,1.0,63.0,5.0,56.0,3.0,71.0,1,2004
74,Albert Montanes,4.2,53.0,1.8,37.6,6.4,73.0,5,2004
75,Raemon Sluiter,10.8,49.0,2.4,38.6,6.4,74.0,5,2004
76,Dmitry Tursunov,8.0,52.5,3.5,38.5,4.0,74.0,2,2004
77,Paul Henri Mathieu,1.5,39.5,2.0,27.0,6.0,77.0,3,2004
78,Cyril Saulnier,5.0,26.0,2.0,22.0,1.0,79.0,1,2004
79,Karol Beck,6.0,29.0,1.0,22.0,5.0,80.0,1,2004
80,Greg Rusedski,,,,,,80.0,1,2004
81,Potito Starace,2.0,75.0,1.0,56.0,6.0,80.0,3,2004
82,Stefan Koubek,4.375,52.875,3.25,35.25,7.125,81.0,10,2004
83,Antony Dupuis,8.0,44.0,2.0,34.5,6.0,82.0,2,2004
84,Oscar Hernandez,2.75,43.5,1.75,32.0,5.75,82.0,8,2004
85,Alexander Popp,1.5,40.0,2.0,31.0,4.5,84.0,2,2004
86,Philipp Kohlschreiber,7.0,29.0,2.0,21.0,1.0,85.0,1,2004
87,Richard Gasquet,5.666666666666667,44.333333333333336,4.333333333333333,32.0,8.0,85.0,3,2004
88,Thierry Ascione,3.25,37.5,2.25,29.5,3.75,86.0,4,2004
89,Juan Monaco,2.0,61.166666666666664,1.6666666666666667,38.0,7.333333333333333,86.0,6,2004
90,Galo Blanco,4.2,53.0,3.8,36.0,8.2,87.0,5,2004
91,Alex Calatrava,3.0,35.666666666666664,1.6666666666666667,24.0,5.333333333333333,88.0,3,2004
92,Lars Burgsmuller,2.5,78.0,7.0,49.0,16.0,89.0,2,2004
93,Dennis Van Scheppingen,3.3333333333333335,40.0,4.333333333333333,29.0,6.666666666666667,89.0,3,2004
94,Olivier Patience,7.0,58.0,3.0,41.0,11.0,89.0,2,2004
95,Alex Corretja,4.25,49.25,4.0,33.25,8.75,91.0,4,2004
96,Julien Benneteau,6.5,77.0,2.5,50.5,9.5,92.0,2,2004
97,Michael Llodra,5.333333333333333,61.666666666666664,2.3333333333333335,49.333333333333336,5.333333333333333,94.0,3,2004
98,Jan Vacek,2.0,53.0,4.0,34.0,10.0,96.0,1,2004
99,Kristof Vliegen,7.0,22.0,0.0,19.0,0.0,96.0,1,2004
100,Gilles Elseneer,7.0,107.0,4.0,78.0,10.0,100.0,1,2004
101,Roger Federer,4.428571428571429,42.92857142857143,2.2142857142857144,32.357142857142854,3.5714285714285716,1.0,15,2005
102,Rafael Nadal,2.0416666666666665,47.791666666666664,1.1041666666666667,33.583333333333336,4.916666666666667,2.0,50,2005
103,Andy Roddick,7.5,34.75,0.75,28.0,2.125,3.0,10,2005
104,Marat Safin,7.428571428571429,46.42857142857143,2.0,37.285714285714285,6.142857142857143,4.0,7,2005
105,Gaston Gaudio,2.4285714285714284,41.76190476190476,2.5,28.952380952380953,6.0476190476190474,5.0,43,2005
106,Guillermo Coria,2.5714285714285716,43.5,2.857142857142857,30.964285714285715,5.25,5.0,30,2005
107,Carlos Moya,4.0625,52.375,2.5,38.5625,6.5625,6.0,16,2005
108,Tim Henman,4.0,41.2,1.6,30.6,2.0,6.0,5,2005
