,loser_name,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,loser_id,year
69,Albert Montanes,0.0,39.0,3.0,14.0,13.0,78.0,1,2004
70,Julien Benneteau,6.0,77.0,3.0,50.5,8.5,80.0,2,2004
71,Cyril Saulnier,6.333333333333333,59.333333333333336,2.6666666666666665,39.666666666666664,10.333333333333334,81.0,3,2004
72,Alexander Popp,3.0,62.333333333333336,5.0,39.0,9.666666666666666,82.0,3,2004
73,Antony Dupuis,7.75,57.0,1.75,40.5,8.0,83.0,4,2004
74,Alex Corretja,13.0,83.0,7.0,61.0,10.0,85.0,1,2004
75,Thierry Ascione,1.6666666666666667,49.0,5.666666666666667,30.666666666666668,12.666666666666666,86.0,3,2004
76,Dennis Van Scheppingen,12.0,74.0,8.0,50.5,14.0,87.0,2,2004
77,Kenneth Carlsen,11.0,81.0,8.0,69.0,3.0,88.0,1,2004
78,Oscar Hernandez,1.0,39.0,9.0,21.0,9.0,88.0,1,2004
79,Ruben Ramirez Hidalgo,3.0,93.0,3.0,61.0,13.0,89.0,1,2004
80,Wayne Arthurs,15.666666666666666,48.666666666666664,6.333333333333333,39.333333333333336,4.666666666666667,90.0,3,2004
81,Lars Burgsmuller,2.6666666666666665,47.0,4.0,31.333333333333332,8.333333333333334,92.0,3,2004
82,Olivier Patience,5.5,70.0,9.0,49.5,11.5,93.0,2,2004
83,Stefan Koubek,7.5,76.0,1.0,55.5,7.0,95.0,2,2004
84,Jose Acasuso,3.5,51.0,2.5,30.5,11.5,97.0,2,2004
85,Gilles Elseneer,4.25,64.5,5.25,46.5,10.25,98.0,4,2004
86,Hyung Taik Lee,2.0,67.0,3.0,42.0,9.0,99.0,1,2004
87,Tommy Haas,3.0,68.0,7.0,48.0,8.0,100.0,1,2004
88,Lleyton Hewitt,8.5,43.5,2.5,34.0,4.5,2.0,3,2005
89,Rafael Nadal,6.5,62.5,3.0,47.0,6.5,3.0,2,2005
90,Andy Roddick,7.0,68.0,1.0,46.0,9.0,4.0,1,2005
91,Marat Safin,9.0,59.5,0.5,47.5,3.0,5.0,2,2005
92,Nikolay Davydenko,1.0,43.0,3.0,30.0,5.0,7.0,1,2005
93,Guillermo Canas,3.0,46.0,3.0,29.0,7.0,8.0,1,2005
94,Tim Henman,4.0,61.5,6.5,43.5,7.5,9.0,2,2005
95,Joachim Johansson,8.0,58.5,2.0,37.5,9.0,10.0,2,2005
96,Mariano Puerta,2.0,60.0,1.0,29.0,17.0,11.0,1,2005
