,loser_name,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,loser_id,year
59,Mariano Zabaleta,4.833333333333333,49.5,5.0,33.0,8.833333333333334,39.0,7,2004
60,Igor Andreev,4.0,43.666666666666664,4.333333333333333,29.22222222222222,7.111111111111111,39.0,10,2004
61,Filippo Volandri,1.25,54.5,6.0,36.25,9.25,42.0,5,2004
62,Karol Kucera,5.2,48.2,5.8,31.2,9.0,42.0,5,2004
63,Irakli Labadze,3.7,42.0,6.3,28.4,6.9,43.0,10,2004
64,Thomas Johansson,11.166666666666666,48.5,2.3333333333333335,35.5,8.833333333333334,43.0,6,2004
65,Radek Stepanek,5.125,47.625,4.125,30.375,8.5,43.0,8,2004
66,Nikolay Davydenko,3.4444444444444446,59.111111111111114,3.0,39.333333333333336,6.777777777777778,44.0,10,2004
67,Flavio Saretta,4.0,33.333333333333336,3.3333333333333335,20.333333333333332,10.0,46.0,4,2004
68,Olivier Rochus,1.2,54.4,3.2,31.2,10.2,48.0,11,2004
69,David Sanchez,2.2222222222222223,43.333333333333336,1.7777777777777777,29.0,8.555555555555555,49.0,9,2004
70,Jan Michael Gambill,11.444444444444445,45.111111111111114,3.8333333333333335,33.05555555555556,8.777777777777779,51.0,18,2004
71,Alberto Martin,3.090909090909091,47.72727272727273,4.909090909090909,33.27272727272727,8.363636363636363,52.0,11,2004
72,Ivo Karlovic,22.0,64.72727272727273,6.818181818181818,53.54545454545455,7.090909090909091,52.0,12,2004
73,Stefan Koubek,2.888888888888889,51.44444444444444,3.3333333333333335,31.0,10.222222222222221,53.0,11,2004
74,Thomas Enqvist,7.615384615384615,47.53846153846154,5.538461538461538,34.76923076923077,7.846153846153846,53.0,15,2004
75,Gregory Carraz,8.25,43.5,6.916666666666667,32.0,7.666666666666667,54.0,13,2004
76,Nicolas Lapentti,4.8,47.8,2.4,32.4,9.0,55.0,5,2004
77,Michael Llodra,7.2,45.0,3.6,31.8,6.6,55.0,5,2004
78,Raemon Sluiter,9.1,51.4,3.8,38.4,6.7,56.0,10,2004
79,Hyung Taik Lee,3.6666666666666665,49.666666666666664,2.5833333333333335,33.333333333333336,7.75,56.0,14,2004
80,Karol Beck,6.454545454545454,43.45454545454545,4.454545454545454,31.181818181818183,8.0,56.0,13,2004
81,Cyril Saulnier,7.615384615384615,44.92307692307692,3.4615384615384617,33.46153846153846,5.846153846153846,58.0,13,2004
82,Todd Martin,11.0,61.333333333333336,4.777777777777778,45.77777777777778,7.444444444444445,58.0,9,2004
83,Nicolas Escude,6.0,47.6,3.2,34.0,7.2,59.0,6,2004
84,Ricardo Mello,0.5,35.5,2.5,20.5,10.0,60.0,2,2004
85,Dmitry Tursunov,5.909090909090909,45.72727272727273,4.818181818181818,30.636363636363637,8.636363636363637,63.0,11,2004
86,Victor Hanescu,6.428571428571429,55.0,3.857142857142857,35.142857142857146,10.428571428571429,63.0,8,2004
87,Davide Sanguinetti,5.2,49.2,2.0,32.6,8.2,64.0,5,2004
88,Antony Dupuis,7.636363636363637,46.45454545454545,4.0,34.27272727272727,6.363636363636363,64.0,11,2004
89,Jose Acasuso,8.5,37.0,5.5,27.0,9.0,67.0,2,2004
90,Gilles Muller,7.0,43.333333333333336,3.0,30.666666666666668,5.666666666666667,69.0,3,2004
91,Ruben Ramirez Hidalgo,2.2,46.0,6.0,30.4,9.8,69.0,5,2004
92,Julien Benneteau,3.3333333333333335,40.333333333333336,4.333333333333333,28.166666666666668,6.166666666666667,71.0,6,2004
93,Juan Monaco,5.5,65.0,2.0,37.0,14.0,72.0,2,2004
94,Dennis Van Scheppingen,3.142857142857143,40.42857142857143,5.142857142857143,27.0,8.142857142857142,73.0,7,2004
95,Brian Vahaly,1.5,50.5,4.0,32.25,7.75,75.0,4,2004
96,Lars Burgsmuller,3.75,40.5,3.25,26.125,8.875,75.0,8,2004
97,Potito Starace,8.5,68.0,2.0,51.0,8.5,77.0,2,2004
98,Kenneth Carlsen,7.285714285714286,45.0,3.4285714285714284,32.42857142857143,6.142857142857143,79.0,7,2004
99,Wesley Moodie,14.5,69.0,4.0,51.5,8.75,80.0,4,2004
100,Alexander Popp,6.0,53.0,4.333333333333333,34.5,9.333333333333334,81.0,6,2004
101,Albert Montanes,0.6666666666666666,37.666666666666664,4.333333333333333,18.666666666666668,13.666666666666666,81.0,3,2004
102,Thierry Ascione,5.0,56.0,2.5,32.0,12.0,82.0,2,2004
103,Paul Henri Mathieu,7.666666666666667,41.0,6.333333333333333,30.333333333333332,9.333333333333334,83.0,3,2004
104,Albert Portas,5.0,47.0,5.0,29.5,10.0,83.0,2,2004
105,Jan Hernych,2.5,51.5,2.5,33.0,8.5,83.0,2,2004
106,Wayne Arthurs,19.6,58.8,5.2,47.0,6.0,84.0,6,2004
107,Christophe Rochus,4.0,48.5,3.5,32.5,9.0,84.0,2,2004
108,Alex Corretja,3.111111111111111,55.77777777777778,2.888888888888889,35.44444444444444,9.88888888888889,86.0,9,2004
109,Oscar Hernandez,2.6666666666666665,46.333333333333336,3.3333333333333335,26.666666666666668,10.333333333333334,87.0,3,2004
110,Greg Rusedski,11.6,54.4,6.8,41.4,6.6,89.0,5,2004
111,John Van Lottum,5.8,57.6,3.4,40.4,11.2,89.0,5,2004
112,Yen Hsun Lu,4.333333333333333,42.166666666666664,4.666666666666667,30.0,7.5,90.0,7,2004
113,Jeff Morrison,7.6,40.6,4.6,31.0,6.6,90.0,5,2004
114,Philipp Kohlschreiber,10.0,53.333333333333336,7.0,37.333333333333336,11.0,92.0,3,2004
115,Olivier Patience,6.0,62.0,8.0,43.0,9.0,95.0,1,2004
116,Nicolas Mahut,11.5,49.0,9.5,33.5,13.5,95.0,2,2004
117,Richard Gasquet,4.5,29.5,3.0,21.0,5.0,97.0,2,2004
118,Gilles Elseneer,9.0,52.0,1.0,37.0,4.0,97.0,1,2004
119,Jean Rene Lisnard,2.0,44.0,6.0,29.0,18.0,97.0,1,2004
120,Galo Blanco,4.5,43.0,5.0,32.0,6.0,99.0,2,2004
121,Roger Federer,22.0,107.0,8.0,88.0,13.0,1.0,1,2005
122,Andy Roddick,15.75,56.375,3.75,46.625,5.875,2.0,10,2005
123,Lleyton Hewitt,5.333333333333333,45.0,4.333333333333333,32.333333333333336,8.333333333333334,2.0,7,2005
124,Rafael Nadal,3.1666666666666665,72.83333333333333,3.5,46.333333333333336,10.166666666666666,2.0,6,2005
125,Marat Safin,2.75,33.75,2.5,21.75,6.25,4.0,4,2005
126,Carlos Moya,6.5,49.6,3.3,35.2,8.8,5.0,10,2005
127,Guillermo Coria,3.3636363636363638,50.54545454545455,4.636363636363637,32.72727272727273,10.636363636363637,5.0,13,2005
128,Nikolay Davydenko,2.4285714285714284,49.785714285714285,3.0,30.857142857142858,9.0,6.0,14,2005
129,Tim Henman,3.8181818181818183,49.36363636363637,4.090909090909091,33.54545454545455,9.454545454545455,6.0,11,2005
130,Andre Agassi,3.0,39.666666666666664,2.6666666666666665,25.666666666666668,8.5,7.0,8,2005
131,Gaston Gaudio,4.0,57.22222222222222,3.0,37.22222222222222,9.333333333333334,8.0,9,2005
132,Mariano Puerta,4.6,67.8,2.6,44.8,10.8,9.0,6,2005
133,Ivan Ljubicic,14.636363636363637,66.0,2.272727272727273,48.27272727272727,8.272727272727273,9.0,12,2005
134,David Nalbandian,2.5454545454545454,50.63636363636363,3.5454545454545454,31.727272727272727,9.727272727272727,9.0,11,2005
135,Joachim Johansson,17.0,52.6,4.6,38.8,7.2,9.0,5,2005
136,Guillermo Canas,5.0,37.333333333333336,3.6666666666666665,24.333333333333332,8.333333333333334,12.0,3,2005
137,Richard Gasquet,2.0,64.0,3.0,41.5,8.25,12.0,4,2005
138,Tommy Robredo,3.9,53.6,3.7,36.8,8.6,12.0,11,2005
139,Thomas Johansson,7.571428571428571,43.785714285714285,2.5714285714285716,30.428571428571427,7.928571428571429,13.0,14,2005
140,Sebastien Grosjean,6.5,52.333333333333336,2.1666666666666665,36.416666666666664,8.666666666666666,14.0,12,2005
141,Tommy Haas,5.75,45.833333333333336,4.166666666666667,32.083333333333336,7.666666666666667,14.0,13,2005
